temperature,humidity,light_intensity,fan_cooling_pwm,fan_circulation_pwm,water_pump_pwm,grow_light_pwm
15.0,75.47271655994574,100.0,0,50,50,0
15.175544048016077,77.70606785715093,99.41885808662572,0,50,50,0
15.0,80.01999500678242,97.41791803460536,50,100,0,100
15.0,76.13631935498863,100.0,0,50,50,0
15.170310346689673,78.03852304613825,100.0,50,100,0,100
15.0,74.48821679062921,100.0,0,50,50,0
15.0,76.09741280409271,99.77285949604676,0,50,50,0
15.0,77.530689818993,100.0,0,50,50,0
15.0,79.47879253487073,99.08610835083252,50,100,0,100
15.0,75.3563505032228,100.0,0,50,50,0
15.146205709841055,78.35494015506026,100.0,50,100,0,100
15.0,74.32960595493039,100.0,0,50,50,0
15.0,75.77368972953286,99.42861824811114,0,50,50,0
15.061649509292716,77.4395298211967,98.56430062306227,0,50,50,0
15.07743356329286,78.07014703181682,97.94270261438781,50,100,0,100
15.0,73.72429261090544,100.0,0,50,50,0
15.0,74.8230064165697,100.0,0,50,50,0
15.0,77.31228117447972,100.0,0,50,50,0
15.183945617227524,78.4482352140462,100.0,50,100,0,100
15.0,74.01139404641017,100.0,0,50,50,0
15.0,75.8158458908518,100.0,0,50,50,0
15.127790493170346,79.06924366029314,99.35933817562919,50,100,0,100
15.0,74.63816478207873,100.0,0,50,50,0
15.113334683222467,77.34086938751643,99.04213347335018,0,50,50,0
15.0,79.120358095808,100.0,50,100,0,100
15.0,75.22313553672642,100.0,0,50,50,0
15.193436658902487,77.14908023831306,99.90835708248788,0,50,50,0
15.076964747174289,77.95544469800201,98.46862756425166,0,50,50,0
15.159989664889228,79.69538676051395,99.39854201326577,50,100,0,100
15.0,75.47414256834527,100.0,0,50,50,0
15.09502280903065,77.46088125015662,100.0,0,50,50,0
15.0,78.89409275682527,98.99378310146557,50,100,0,100
15.0,74.88372258937406,100.0,0,50,50,0
15.115135622388557,76.72337058170714,100.0,0,50,50,0
15.050617845183925,78.67911566846949,100.0,50,100,0,100
15.0,74.34899375762942,100.0,0,50,50,0
15.0,75.62687937961435,100.0,0,50,50,0
15.0,77.82724673951529,100.0,0,50,50,0
24.874332088236145,53.92685683058384,31.497254003414223,0,0,100,100
24.53008297148782,61.38429511126744,43.03361883257948,0,0,0,100
24.729979267817864,60.449881924247784,54.66004479916389,0,0,0,100
24.547876183197065,60.501614895391235,64.42126766441659,100,50,100,50
19.70562577593397,66.08640871611368,69.0102220503552,0,50,0,50
19.94274737534022,64.1017312190682,74.63599904112898,0,50,0,0
19.949363807466444,62.4906096732241,76.598472073702,0,50,0,0
20.041384309971942,60.51919857129151,74.8112643879377,100,50,100,50
15.099542546781077,66.30310559714769,78.50349380952187,0,50,0,50
15.265325012677955,65.15416924341079,83.47653602400871,50,100,50,50
15.0,65.0936226668201,86.05046483825825,50,100,50,50
15.0,64.99441368800588,90.64908682948057,50,100,50,50
15.0,64.62343316356117,96.56030040144836,50,100,50,50
15.0,64.56524957825431,100.0,50,100,50,50
15.0,64.8295055351413,100.0,50,100,50,50
15.0,64.42350815273132,100.0,50,100,50,50
15.0,64.90508077524825,100.0,50,100,50,50
15.0,64.27081969101127,100.0,50,100,50,50
15.0,64.011511638388,100.0,50,100,50,50
15.0,64.21055225829,100.0,50,100,50,50
15.0,64.58175198421631,100.0,50,100,50,50
15.0,64.21575223366887,100.0,50,100,50,50
15.0,63.74649339798801,100.0,50,100,50,50
15.0,62.96298992309137,100.0,50,100,50,50
15.0,62.52884460089885,100.0,50,100,50,50
15.0,62.79367730840075,100.0,50,100,50,50
15.0,62.33791897566983,100.0,50,100,50,50
15.0,61.67992399834359,100.0,50,100,50,50
15.0,62.228904320395536,100.0,50,100,50,50
15.0,62.60224945929822,100.0,50,100,50,50
15.0,61.887285841942614,100.0,50,100,50,50
15.0,61.52970408917856,100.0,50,100,50,50
15.0,60.49553268664311,100.0,50,100,50,50
15.0,60.68628252029571,100.0,50,100,50,50
15.0,60.23747840830753,100.0,50,100,50,50
15.0,60.65406786866681,100.0,50,100,50,50
15.0,60.39763773895742,100.0,50,100,50,50
15.0,60.74573536960958,100.0,50,100,50,50
15.0,60.611557451825306,100.0,50,100,50,50
15.0,60.81984296899119,100.0,50,100,50,50
15.0,60.787219294843005,100.0,50,100,50,50
15.0,60.731130183529594,100.0,50,100,50,50
15.0,60.88639394940838,100.0,50,100,50,50
15.0,61.78010713029839,100.0,50,100,50,50
15.0,62.099812643816755,100.0,50,100,50,50
15.0,62.95172356545712,100.0,50,100,50,50
15.0,63.131737254891455,100.0,50,100,50,50
