episode,reward,length
408,-6949.190604968107,100
409,-6056.231224081145,100
410,-5362.738417599076,100
411,-6398.204219464825,100
412,-8300.372263298052,100
413,-6570.099738123384,100
414,-5486.872591269575,100
415,-5488.905690244155,100
416,-5952.703129533523,100
417,-7947.237400681487,100
418,-7798.323511665134,100
419,-6204.883702917901,100
420,-8084.489387638842,100
421,-7121.937497091233,100
422,-6433.852215787312,100
423,-8244.129441046623,100
424,-7599.364445870776,100
425,-7948.556606320738,100
426,-7629.085401339068,100
427,-6232.504444928837,100
428,-6482.8362870941855,100
429,-6145.4347693738555,100
430,-5352.470130599769,100
431,-5994.986818282437,100
432,-5737.756897919649,100
433,-5865.859053274474,100
434,-7390.750453778115,100
435,-7590.386675670038,100
436,-7457.0861326445765,100
437,-7822.5702951073545,100
438,-8688.950728311733,100
439,-6438.185875848415,100
440,-7497.9763642776215,100
441,-5933.773879506025,100
442,-5888.396696485558,100
443,-6320.610686850117,100
444,-5605.972887141613,100
445,-6307.371824457107,100
446,-7589.602620540569,100
447,-6989.9967075640825,100
448,-5409.510989796346,100
449,-5677.586924128411,100
450,-5601.415759157969,100
451,-5567.164832502166,100
452,-6220.531144408309,100
453,-5739.937527862479,100
454,-5602.688526056766,100
455,-5306.778503155336,100
456,-5722.715066838614,100
457,-5625.815291701302,100
458,-6401.918752406397,100
459,-6040.709911539931,100
460,-7922.241860249099,100
461,-7849.621966425654,100
462,-6742.454575307359,100
463,-6465.9931362171155,100
464,-7655.284967525472,100
465,-6772.667545349338,100
466,-5676.351705012609,100
467,-5820.920617894069,100
468,-8007.020518705591,100
469,-7929.172154945123,100
470,-6052.775104264143,100
471,-6877.172781819358,100
472,-5464.271827075071,100
473,-5401.771464222085,100
474,-5591.902695350821,100
475,-7544.309946193824,100
476,-7592.212831740289,100
477,-6474.357010107907,100
478,-7830.510239828812,100
479,-8035.03391649636,100
480,-8347.121039431486,100
481,-8246.293823322227,100
482,-7572.665632687835,100
483,-7125.141598254326,100
484,-7078.883995923088,100
485,-5998.099093334695,100
486,-5584.537751435793,100
487,-6024.332049119865,100
488,-5423.60346657042,100
489,-5283.126883874288,100
490,-5307.334571083099,100
